training_dataset,model_dataset,model_name,original_accuracy,quantized_accuracy
imagenette,stanford-dogs,resnet18-ri-1-id-6i2V,0.9361,0.9101
imagenette,stanford-dogs,resnet18-ri-1-id-P3fA,0.9368,0.9121
imagenette,stanford-dogs,resnet18-ri-2-id-W0EJ,0.8591,0.8354
imagenette,stanford-dogs,resnet18-ri-2-id-fjYZ,0.8548,0.8535
imagenette,stanford-dogs,resnet18-ri-2-id-jihA,0.8706,0.8446
imagenette,stanford-dogs,resnet18-ri-3-id-mJW3,0.8229,0.8071
imagenette,stanford-dogs,resnet18-ri-4-id-2Edl,0.7885,0.7936
imagenette,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
imagenette,stanford-cars,resnet18-ri-1-id-OvuO,0.9386,0.8818
imagenette,stanford-cars,resnet18-ri-1-id-Q7Cx,0.9325,0.8831
imagenette,stanford-cars,resnet18-ri-2-id-quig,0.8805,0.8431
imagenette,stanford-cars,resnet18-ri-3-id-C7GI,0.8385,0.8166
imagenette,stanford-cars,resnet18-ri-3-id-vkjB,0.8367,0.8171
imagenette,stanford-cars,resnet18-ri-4-id-foLI,0.8038,0.7921
imagenette,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
imagenette,cub-birds-200,resnet18-ri-1-id-WaWN,0.9399,0.9169
imagenette,cub-birds-200,resnet18-ri-2-id-xse0,0.8777,0.8685
imagenette,cub-birds-200,resnet18-ri-3-id-JQWn,0.8469,0.8293
imagenette,cub-birds-200,resnet18-ri-3-id-OgH6,0.853,0.8387
imagenette,cub-birds-200,resnet18-ri-3-id-ldi4,0.8324,0.8166
imagenette,cub-birds-200,resnet18-ri-4-id-OHnK,0.7827,0.7992
imagenette,food-101,resnet18-ri-1-id-Ab2k,0.9302,0.9011
imagenette,food-101,resnet18-ri-1-id-p6oa,0.9299,0.905
imagenette,food-101,resnet18-ri-2-id-TuCE,0.8385,0.8487
imagenette,food-101,resnet18-ri-2-id-ecv6,0.8454,0.8438
imagenette,food-101,resnet18-ri-3-id-9MpK,0.8079,0.815
imagenette,food-101,resnet18-ri-3-id-XAw0,0.8145,0.826
imagenette,food-101,resnet18-ri-4-id-qDgm,0.7536,0.7569
imagenette,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
imagenette,image-woof,resnet18-ri-1-id-aqLY,0.9376,0.908
imagenette,image-woof,resnet18-ri-2-id-gTpi,0.8341,0.772
imagenette,image-woof,resnet18-ri-3-id-3bLu,0.785,0.7307
imagenette,image-woof,resnet18-ri-3-id-8UYF,0.7898,0.7628
imagenette,image-woof,resnet18-ri-3-id-cNQC,0.7811,0.7817
imagenette,image-woof,resnet18-ri-4-id-Eu6F,0.7292,0.7108
stanford-dogs,stanford-dogs,resnet18-ri-1-id-6i2V,0.7227,0.5524
stanford-dogs,stanford-dogs,resnet18-ri-1-id-P3fA,0.7217,0.5476
stanford-dogs,stanford-dogs,resnet18-ri-2-id-W0EJ,0.692,0.5284
stanford-dogs,stanford-dogs,resnet18-ri-2-id-fjYZ,0.6927,0.5308
stanford-dogs,stanford-dogs,resnet18-ri-2-id-jihA,0.6923,0.5164
stanford-dogs,stanford-dogs,resnet18-ri-3-id-mJW3,0.6745,0.4896
stanford-dogs,stanford-dogs,resnet18-ri-4-id-2Edl,0.6643,0.4935
stanford-dogs,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
stanford-dogs,stanford-cars,resnet18-ri-1-id-OvuO,0.5277,0.3938
stanford-dogs,stanford-cars,resnet18-ri-1-id-Q7Cx,0.5378,0.4049
stanford-dogs,stanford-cars,resnet18-ri-2-id-quig,0.2908,0.231
stanford-dogs,stanford-cars,resnet18-ri-3-id-C7GI,0.2471,0.1851
stanford-dogs,stanford-cars,resnet18-ri-3-id-vkjB,0.2239,0.18
stanford-dogs,stanford-cars,resnet18-ri-4-id-foLI,0.1702,0.1372
stanford-dogs,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
stanford-dogs,cub-birds-200,resnet18-ri-1-id-WaWN,0.5918,0.4836
stanford-dogs,cub-birds-200,resnet18-ri-2-id-xse0,0.4211,0.3427
stanford-dogs,cub-birds-200,resnet18-ri-3-id-JQWn,0.335,0.2697
stanford-dogs,cub-birds-200,resnet18-ri-3-id-OgH6,0.3643,0.2793
stanford-dogs,cub-birds-200,resnet18-ri-3-id-ldi4,0.3393,0.2695
stanford-dogs,cub-birds-200,resnet18-ri-4-id-OHnK,0.2971,0.1994
stanford-dogs,food-101,resnet18-ri-1-id-Ab2k,0.5207,0.4289
stanford-dogs,food-101,resnet18-ri-1-id-p6oa,0.5304,0.4127
stanford-dogs,food-101,resnet18-ri-2-id-TuCE,0.3344,0.2707
stanford-dogs,food-101,resnet18-ri-2-id-ecv6,0.3334,0.284
stanford-dogs,food-101,resnet18-ri-3-id-9MpK,0.293,0.2404
stanford-dogs,food-101,resnet18-ri-3-id-XAw0,0.2776,0.2541
stanford-dogs,food-101,resnet18-ri-4-id-qDgm,0.2319,0.1871
stanford-dogs,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
stanford-dogs,image-woof,resnet18-ri-1-id-aqLY,0.6153,0.4578
stanford-dogs,image-woof,resnet18-ri-2-id-gTpi,0.498,0.3422
stanford-dogs,image-woof,resnet18-ri-3-id-3bLu,0.4663,0.2911
stanford-dogs,image-woof,resnet18-ri-3-id-8UYF,0.4483,0.3227
stanford-dogs,image-woof,resnet18-ri-3-id-cNQC,0.4593,0.3319
